id;category;date;label;value;user_id
116;Stress;"2024-10-28 00:00:00.000000";"Ability to handle stress";1.20341;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
117;Stress;"2024-10-28 00:00:00.000000";"Degree of emotional well-being";3.50373;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
118;Sleep;"2024-10-27 00:00:00.000000";"Quality of sleep";0.623003;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
119;Sleep;"2024-10-27 00:00:00.000000";"Energy level upon awakening";3.5623;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
120;Sleep;"2024-10-27 00:00:00.000000";"Level of satisfaction with sleep";1.5655;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
121;Nutrition;"2024-10-27 00:00:00.000000";"Quality of food";1.36315;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
122;Nutrition;"2024-10-27 00:00:00.000000";"Balanced and healthy diet";3.81789;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
123;Nutrition;"2024-10-27 00:00:00.000000";"Degree of satisfaction with nutrition";1.23536;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
124;Stress;"2024-10-27 00:00:00.000000";"Level of stress";1.91693;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
125;Stress;"2024-10-27 00:00:00.000000";"Ability to handle stress";2.7689;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
126;Stress;"2024-10-27 00:00:00.000000";"Degree of emotional well-being";0.86262;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
127;Sleep;"2024-10-22 00:00:00.000000";"Quality of sleep";1.22471;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
128;Sleep;"2024-10-22 00:00:00.000000";"Energy level upon awakening";1.31523;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
129;Sleep;"2024-10-22 00:00:00.000000";"Level of satisfaction with sleep";3.69542;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
130;Nutrition;"2024-10-22 00:00:00.000000";"Quality of food";1.90096;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
131;Nutrition;"2024-10-22 00:00:00.000000";"Balanced and healthy diet";3.44515;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
132;Nutrition;"2024-10-22 00:00:00.000000";"Degree of satisfaction with nutrition";2.35889;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
133;Stress;"2024-10-22 00:00:00.000000";"Level of stress";3.70075;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
134;Stress;"2024-10-22 00:00:00.000000";"Ability to handle stress";1.22471;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
135;Stress;"2024-10-22 00:00:00.000000";"Degree of emotional well-being";2.75293;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
136;Other;"2024-10-22 00:00:00.000000";illness;2.10063;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
137;Sleep;"2024-10-29 00:00:00.000000";"Quality of sleep";2.5813;9563af98-ff9f-431d-a786-d9ce8ef30fcc
138;Sleep;"2024-10-29 00:00:00.000000";"Energy level upon awakening";2.15447;9563af98-ff9f-431d-a786-d9ce8ef30fcc
139;Sleep;"2024-10-29 00:00:00.000000";"Level of satisfaction with sleep";3.5315;9563af98-ff9f-431d-a786-d9ce8ef30fcc
140;Nutrition;"2024-10-29 00:00:00.000000";"Quality of food";2.32215;9563af98-ff9f-431d-a786-d9ce8ef30fcc
141;Nutrition;"2024-10-29 00:00:00.000000";"Balanced and healthy diet";2.84553;9563af98-ff9f-431d-a786-d9ce8ef30fcc
142;Nutrition;"2024-10-29 00:00:00.000000";"Degree of satisfaction with nutrition";3.82114;9563af98-ff9f-431d-a786-d9ce8ef30fcc
143;Stress;"2024-10-29 00:00:00.000000";"Level of stress";2.24085;9563af98-ff9f-431d-a786-d9ce8ef30fcc
144;Stress;"2024-10-29 00:00:00.000000";"Ability to handle stress";0.960366;9563af98-ff9f-431d-a786-d9ce8ef30fcc
145;Stress;"2024-10-29 00:00:00.000000";"Degree of emotional well-being";2.06809;9563af98-ff9f-431d-a786-d9ce8ef30fcc
146;Sleep;"2024-10-28 00:00:00.000000";"Quality of sleep";0.945122;9563af98-ff9f-431d-a786-d9ce8ef30fcc
147;Sleep;"2024-10-28 00:00:00.000000";"Energy level upon awakening";1.83943;9563af98-ff9f-431d-a786-d9ce8ef30fcc
148;Sleep;"2024-10-28 00:00:00.000000";"Level of satisfaction with sleep";3.06911;9563af98-ff9f-431d-a786-d9ce8ef30fcc
149;Nutrition;"2024-10-28 00:00:00.000000";"Quality of food";2.17988;9563af98-ff9f-431d-a786-d9ce8ef30fcc
150;Nutrition;"2024-10-28 00:00:00.000000";"Balanced and healthy diet";1.7378;9563af98-ff9f-431d-a786-d9ce8ef30fcc
151;Nutrition;"2024-10-28 00:00:00.000000";"Degree of satisfaction with nutrition";3.14024;9563af98-ff9f-431d-a786-d9ce8ef30fcc
152;Stress;"2024-10-28 00:00:00.000000";"Level of stress";3.05894;9563af98-ff9f-431d-a786-d9ce8ef30fcc
153;Stress;"2024-10-28 00:00:00.000000";"Ability to handle stress";2.42378;9563af98-ff9f-431d-a786-d9ce8ef30fcc
154;Stress;"2024-10-28 00:00:00.000000";"Degree of emotional well-being";1.89533;9563af98-ff9f-431d-a786-d9ce8ef30fcc
155;Sleep;"2024-10-27 00:00:00.000000";"Quality of sleep";2.68293;9563af98-ff9f-431d-a786-d9ce8ef30fcc
156;Sleep;"2024-10-27 00:00:00.000000";"Energy level upon awakening";2.08333;9563af98-ff9f-431d-a786-d9ce8ef30fcc
157;Sleep;"2024-10-27 00:00:00.000000";"Level of satisfaction with sleep";3.46545;9563af98-ff9f-431d-a786-d9ce8ef30fcc
158;Nutrition;"2024-10-27 00:00:00.000000";"Quality of food";3.05386;9563af98-ff9f-431d-a786-d9ce8ef30fcc
159;Nutrition;"2024-10-27 00:00:00.000000";"Balanced and healthy diet";1.61077;9563af98-ff9f-431d-a786-d9ce8ef30fcc
160;Nutrition;"2024-10-27 00:00:00.000000";"Degree of satisfaction with nutrition";2.84045;9563af98-ff9f-431d-a786-d9ce8ef30fcc
161;Stress;"2024-10-27 00:00:00.000000";"Level of stress";2.06809;9563af98-ff9f-431d-a786-d9ce8ef30fcc
162;Stress;"2024-10-27 00:00:00.000000";"Ability to handle stress";1.82419;9563af98-ff9f-431d-a786-d9ce8ef30fcc
163;Stress;"2024-10-27 00:00:00.000000";"Degree of emotional well-being";2.76423;9563af98-ff9f-431d-a786-d9ce8ef30fcc
164;Sleep;"2024-11-03 00:00:00.000000";"Quality of sleep";4.07009;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
165;Sleep;"2024-11-03 00:00:00.000000";"Energy level upon awakening";3.10473;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
166;Sleep;"2024-11-03 00:00:00.000000";"Level of satisfaction with sleep";3.14926;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
167;Nutrition;"2024-11-03 00:00:00.000000";"Quality of food";3.91067;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
168;Nutrition;"2024-11-03 00:00:00.000000";"Balanced and healthy diet";3.29769;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
169;Nutrition;"2024-11-03 00:00:00.000000";"Degree of satisfaction with nutrition";3.97883;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
170;Stress;"2024-11-03 00:00:00.000000";"Level of stress";3.97169;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
171;Stress;"2024-11-03 00:00:00.000000";"Ability to handle stress";3.47251;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
172;Stress;"2024-11-03 00:00:00.000000";"Degree of emotional well-being";3.9497;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
173;Sleep;"2024-11-02 00:00:00.000000";"Quality of sleep";4.36531;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
174;Sleep;"2024-11-02 00:00:00.000000";"Energy level upon awakening";3.88153;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
175;Sleep;"2024-11-02 00:00:00.000000";"Level of satisfaction with sleep";1.2867;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
176;Nutrition;"2024-11-02 00:00:00.000000";"Quality of food";3.02172;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
177;Nutrition;"2024-11-02 00:00:00.000000";"Balanced and healthy diet";3.90187;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
178;Nutrition;"2024-11-02 00:00:00.000000";"Degree of satisfaction with nutrition";4.63359;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
179;Stress;"2024-11-02 00:00:00.000000";"Level of stress";3.2757;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
180;Stress;"2024-11-02 00:00:00.000000";"Ability to handle stress";1.94365;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
181;Stress;"2024-11-02 00:00:00.000000";"Degree of emotional well-being";3.24931;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
182;Sleep;"2024-11-01 00:00:00.000000";"Quality of sleep";3.6028;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
183;Sleep;"2024-11-01 00:00:00.000000";"Energy level upon awakening";2.8227;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
184;Sleep;"2024-11-01 00:00:00.000000";"Level of satisfaction with sleep";2.71605;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
185;Nutrition;"2024-11-01 00:00:00.000000";"Quality of food";3.73969;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
186;Nutrition;"2024-11-01 00:00:00.000000";"Balanced and healthy diet";2.51594;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
187;Nutrition;"2024-11-01 00:00:00.000000";"Degree of satisfaction with nutrition";2.90847;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
188;Stress;"2024-11-01 00:00:00.000000";"Level of stress";3.8403;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
189;Stress;"2024-11-01 00:00:00.000000";"Ability to handle stress";2.52089;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
190;Stress;"2024-11-01 00:00:00.000000";"Degree of emotional well-being";3.18939;99c0a3d8-5e46-4b9b-88e3-c9cfd3034c4f
191;Sleep;"2024-11-01 00:00:00.000000";"Quality of sleep";1.5632;e323bd73-bd4f-4223-91b3-6223abc57289
192;Sleep;"2024-11-01 00:00:00.000000";"Energy level upon awakening";0.809564;e323bd73-bd4f-4223-91b3-6223abc57289
193;Sleep;"2024-11-01 00:00:00.000000";"Level of satisfaction with sleep";1.43876;e323bd73-bd4f-4223-91b3-6223abc57289
194;Nutrition;"2024-11-01 00:00:00.000000";"Quality of food";0.966163;e323bd73-bd4f-4223-91b3-6223abc57289
195;Nutrition;"2024-11-01 00:00:00.000000";"Balanced and healthy diet";0.795582;e323bd73-bd4f-4223-91b3-6223abc57289
196;Nutrition;"2024-11-01 00:00:00.000000";"Degree of satisfaction with nutrition";0.71868;e323bd73-bd4f-4223-91b3-6223abc57289
197;Stress;"2024-11-01 00:00:00.000000";"Level of stress";1.82466;e323bd73-bd4f-4223-91b3-6223abc57289
198;Stress;"2024-11-01 00:00:00.000000";"Ability to handle stress";1.37584;e323bd73-bd4f-4223-91b3-6223abc57289
199;Stress;"2024-11-01 00:00:00.000000";"Degree of emotional well-being";2.50559;e323bd73-bd4f-4223-91b3-6223abc57289
200;Sleep;"2024-11-02 00:00:00.000000";"Quality of sleep";2.40213;e323bd73-bd4f-4223-91b3-6223abc57289
201;Sleep;"2024-11-02 00:00:00.000000";"Energy level upon awakening";1.02489;e323bd73-bd4f-4223-91b3-6223abc57289
202;Sleep;"2024-11-02 00:00:00.000000";"Level of satisfaction with sleep";2.23574;e323bd73-bd4f-4223-91b3-6223abc57289
203;Nutrition;"2024-11-02 00:00:00.000000";"Quality of food";1.06404;e323bd73-bd4f-4223-91b3-6223abc57289
204;Nutrition;"2024-11-02 00:00:00.000000";"Balanced and healthy diet";0.33557;e323bd73-bd4f-4223-91b3-6223abc57289
205;Nutrition;"2024-11-02 00:00:00.000000";"Degree of satisfaction with nutrition";0.458613;e323bd73-bd4f-4223-91b3-6223abc57289
206;Stress;"2024-11-02 00:00:00.000000";"Level of stress";0.985738;e323bd73-bd4f-4223-91b3-6223abc57289
207;Stress;"2024-11-02 00:00:00.000000";"Ability to handle stress";0.555089;e323bd73-bd4f-4223-91b3-6223abc57289
208;Stress;"2024-11-02 00:00:00.000000";"Degree of emotional well-being";1.54922;e323bd73-bd4f-4223-91b3-6223abc57289
209;Sleep;"2024-11-03 00:00:00.000000";"Quality of sleep";1.23462;e323bd73-bd4f-4223-91b3-6223abc57289
210;Sleep;"2024-11-03 00:00:00.000000";"Energy level upon awakening";0.994128;e323bd73-bd4f-4223-91b3-6223abc57289
211;Sleep;"2024-11-03 00:00:00.000000";"Level of satisfaction with sleep";1.7212;e323bd73-bd4f-4223-91b3-6223abc57289
212;Nutrition;"2024-11-03 00:00:00.000000";"Quality of food";1.70861;e323bd73-bd4f-4223-91b3-6223abc57289
213;Nutrition;"2024-11-03 00:00:00.000000";"Balanced and healthy diet";0.94519;e323bd73-bd4f-4223-91b3-6223abc57289
214;Nutrition;"2024-11-03 00:00:00.000000";"Degree of satisfaction with nutrition";1.16471;e323bd73-bd4f-4223-91b3-6223abc57289
215;Stress;"2024-11-03 00:00:00.000000";"Level of stress";1.96309;e323bd73-bd4f-4223-91b3-6223abc57289
216;Stress;"2024-11-03 00:00:00.000000";"Ability to handle stress";1.92114;e323bd73-bd4f-4223-91b3-6223abc57289
217;Stress;"2024-11-03 00:00:00.000000";"Degree of emotional well-being";1.05845;e323bd73-bd4f-4223-91b3-6223abc57289
218;Other;"2024-11-03 00:00:00.000000";"Anxiety ";1.68333;e323bd73-bd4f-4223-91b3-6223abc57289
219;Sleep;"2024-10-25 00:00:00.000000";"Quality of sleep";1.68841;e323bd73-bd4f-4223-91b3-6223abc57289
220;Sleep;"2024-10-25 00:00:00.000000";"Energy level upon awakening";0.967909;e323bd73-bd4f-4223-91b3-6223abc57289
221;Sleep;"2024-10-25 00:00:00.000000";"Level of satisfaction with sleep";2.78157;e323bd73-bd4f-4223-91b3-6223abc57289
222;Nutrition;"2024-10-25 00:00:00.000000";"Quality of food";1.31573;e323bd73-bd4f-4223-91b3-6223abc57289
223;Nutrition;"2024-10-25 00:00:00.000000";"Balanced and healthy diet";2.16874;e323bd73-bd4f-4223-91b3-6223abc57289
224;Nutrition;"2024-10-25 00:00:00.000000";"Degree of satisfaction with nutrition";1.40683;e323bd73-bd4f-4223-91b3-6223abc57289
225;Stress;"2024-10-25 00:00:00.000000";"Level of stress";2.08592;e323bd73-bd4f-4223-91b3-6223abc57289
226;Stress;"2024-10-25 00:00:00.000000";"Ability to handle stress";0.951346;e323bd73-bd4f-4223-91b3-6223abc57289
227;Stress;"2024-10-25 00:00:00.000000";"Degree of emotional well-being";2.12733;e323bd73-bd4f-4223-91b3-6223abc57289
228;Sleep;"2024-11-05 00:00:00.000000";"Quality of sleep";1.16081;e323bd73-bd4f-4223-91b3-6223abc57289
229;Sleep;"2024-11-05 00:00:00.000000";"Energy level upon awakening";2.26305;e323bd73-bd4f-4223-91b3-6223abc57289
230;Sleep;"2024-11-05 00:00:00.000000";"Level of satisfaction with sleep";0.761448;e323bd73-bd4f-4223-91b3-6223abc57289
231;Nutrition;"2024-11-05 00:00:00.000000";"Quality of food";1.91161;e323bd73-bd4f-4223-91b3-6223abc57289
232;Nutrition;"2024-11-05 00:00:00.000000";"Balanced and healthy diet";0.202343;e323bd73-bd4f-4223-91b3-6223abc57289
233;Nutrition;"2024-11-05 00:00:00.000000";"Degree of satisfaction with nutrition";2.25772;e323bd73-bd4f-4223-91b3-6223abc57289
234;Stress;"2024-11-05 00:00:00.000000";"Level of stress";0.489883;e323bd73-bd4f-4223-91b3-6223abc57289
235;Stress;"2024-11-05 00:00:00.000000";"Ability to handle stress";1.84771;e323bd73-bd4f-4223-91b3-6223abc57289
236;Stress;"2024-11-05 00:00:00.000000";"Degree of emotional well-being";0.857295;e323bd73-bd4f-4223-91b3-6223abc57289
237;Sleep;"2024-10-31 00:00:00.000000";"Quality of sleep";1.64537;e323bd73-bd4f-4223-91b3-6223abc57289
238;Sleep;"2024-10-31 00:00:00.000000";"Energy level upon awakening";1.11289;e323bd73-bd4f-4223-91b3-6223abc57289
239;Sleep;"2024-10-31 00:00:00.000000";"Level of satisfaction with sleep";1.5655;e323bd73-bd4f-4223-91b3-6223abc57289
240;Nutrition;"2024-10-31 00:00:00.000000";"Quality of food";1.55485;e323bd73-bd4f-4223-91b3-6223abc57289
241;Nutrition;"2024-10-31 00:00:00.000000";"Balanced and healthy diet";1.12886;e323bd73-bd4f-4223-91b3-6223abc57289
242;Nutrition;"2024-10-31 00:00:00.000000";"Degree of satisfaction with nutrition";1.79979;e323bd73-bd4f-4223-91b3-6223abc57289
243;Stress;"2024-10-31 00:00:00.000000";"Level of stress";1.78914;e323bd73-bd4f-4223-91b3-6223abc57289
244;Stress;"2024-10-31 00:00:00.000000";"Ability to handle stress";1.70927;e323bd73-bd4f-4223-91b3-6223abc57289
245;Stress;"2024-10-31 00:00:00.000000";"Degree of emotional well-being";1.40575;e323bd73-bd4f-4223-91b3-6223abc57289
246;Sleep;"2024-11-06 00:00:00.000000";"Quality of sleep";2.38616;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
247;Sleep;"2024-11-06 00:00:00.000000";"Energy level upon awakening";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
248;Sleep;"2024-11-06 00:00:00.000000";"Level of satisfaction with sleep";1.17942;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
249;Nutrition;"2024-11-06 00:00:00.000000";"Quality of food";3.8388;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
250;Nutrition;"2024-11-06 00:00:00.000000";"Balanced and healthy diet";4.06648;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
251;Nutrition;"2024-11-06 00:00:00.000000";"Degree of satisfaction with nutrition";4.18033;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
252;Stress;"2024-11-06 00:00:00.000000";"Level of stress";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
253;Stress;"2024-11-06 00:00:00.000000";"Ability to handle stress";4.36703;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
254;Stress;"2024-11-06 00:00:00.000000";"Degree of emotional well-being";3.35155;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
261;Descanso;"2025-01-23 00:00:00.000000";"¿Has dormido suficiente?";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
262;Descanso;"2025-01-23 00:00:00.000000";"Nivel de energía al despertar.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
263;Comida;"2025-01-23 00:00:00.000000";"Calidad de tu alimentación.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
264;Comida;"2025-01-23 00:00:00.000000";"Satisfacción con tu alimentación.";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
265;Estrés;"2025-01-23 00:00:00.000000";"Cantidad de estrés diario.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
266;Estrés;"2025-01-23 00:00:00.000000";"Habilidad para gestionar el estrés.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
267;Descanso;"2025-01-24 00:00:00.000000";"¿Has dormido suficiente?";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
268;Descanso;"2025-01-24 00:00:00.000000";"Nivel de energía al despertar.";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
269;Comida;"2025-01-24 00:00:00.000000";"Calidad de tu alimentación.";3;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
270;Comida;"2025-01-24 00:00:00.000000";"Satisfacción con tu alimentación.";3;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
271;Estrés;"2025-01-24 00:00:00.000000";"Cantidad de estrés diario.";3;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
272;Estrés;"2025-01-24 00:00:00.000000";"Habilidad para gestionar el estrés.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
273;Descanso;"2025-01-25 00:00:00.000000";"¿Has dormido suficiente?";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
274;Descanso;"2025-01-25 00:00:00.000000";"Nivel de energía al despertar.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
275;Comida;"2025-01-25 00:00:00.000000";"Calidad de tu alimentación.";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
276;Comida;"2025-01-25 00:00:00.000000";"Satisfacción con tu alimentación.";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
277;Estrés;"2025-01-25 00:00:00.000000";"Cantidad de estrés diario.";3;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
278;Estrés;"2025-01-25 00:00:00.000000";"Habilidad para gestionar el estrés.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
279;Descanso;"2025-01-26 00:00:00.000000";"¿Has dormido suficiente?";3;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
280;Descanso;"2025-01-26 00:00:00.000000";"Nivel de energía al despertar.";3;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
281;Comida;"2025-01-26 00:00:00.000000";"Calidad de tu alimentación.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
282;Comida;"2025-01-26 00:00:00.000000";"Satisfacción con tu alimentación.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
283;Estrés;"2025-01-26 00:00:00.000000";"Cantidad de estrés diario.";2;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
284;Estrés;"2025-01-26 00:00:00.000000";"Habilidad para gestionar el estrés.";5;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
285;Descanso;"2025-01-27 00:00:00.000000";"¿Has dormido suficiente?";2;3a17a1b8-cf89-4249-a430-ea6bc4672b97
286;Descanso;"2025-01-27 00:00:00.000000";"Nivel de energía al despertar.";3;3a17a1b8-cf89-4249-a430-ea6bc4672b97
287;Comida;"2025-01-27 00:00:00.000000";"Calidad de tu alimentación.";4;3a17a1b8-cf89-4249-a430-ea6bc4672b97
288;Comida;"2025-01-27 00:00:00.000000";"Satisfacción con tu alimentación.";1;3a17a1b8-cf89-4249-a430-ea6bc4672b97
289;Estrés;"2025-01-27 00:00:00.000000";"Cantidad de estrés diario.";4;3a17a1b8-cf89-4249-a430-ea6bc4672b97
290;Estrés;"2025-01-27 00:00:00.000000";"Habilidad para gestionar el estrés.";2;3a17a1b8-cf89-4249-a430-ea6bc4672b97
291;Descanso;"2025-01-27 00:00:00.000000";"¿Has dormido suficiente?";1;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
292;Descanso;"2025-01-27 00:00:00.000000";"Nivel de energía al despertar.";2;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
293;Comida;"2025-01-27 00:00:00.000000";"Calidad de tu alimentación.";2;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
294;Comida;"2025-01-27 00:00:00.000000";"Satisfacción con tu alimentación.";1;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
295;Estrés;"2025-01-27 00:00:00.000000";"Cantidad de estrés diario.";4;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
296;Estrés;"2025-01-27 00:00:00.000000";"Habilidad para gestionar el estrés.";0;6bb3e3ca-c98c-4e97-8b49-cfddfa2edd55
297;Descanso;"2025-01-27 00:00:00.000000";"¿Has dormido suficiente?";4;7b6f2c2b-010a-40ec-b13e-9a3aeb575155
298;Descanso;"2025-01-27 00:00:00.000000";"Nivel de energía al despertar.";4;7b6f2c2b-010a-40ec-b13e-9a3aeb575155
