message_id,category,template_text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SLP_SCORE_LOWER_SEVERITY3_V5,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V5,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V6,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V6,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V7,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V7,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V8,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V8,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V9,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V9,,,,,,
SLP_SCORE_LOWER_SEVERITY3_V10,sueño,mensaje SLP_SCORE_LOWER_SEVERITY3_V10,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V1,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V1,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V2,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V2,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V3,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V3,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V4,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V4,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V5,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V5,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V6,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V6,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V7,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V7,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V8,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V8,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V9,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V9,,,,,,
SLP_SCORE_UPPER_SEVERITY1_V10,sueño,mensaje SLP_SCORE_UPPER_SEVERITY1_V10,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V1,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V1,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V2,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V2,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V3,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V3,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V4,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V4,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V5,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V5,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V6,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V6,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V7,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V7,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V8,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V8,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V9,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V9,,,,,,
SLP_SCORE_UPPER_SEVERITY2_V10,sueño,mensaje SLP_SCORE_UPPER_SEVERITY2_V10,,,,,,
SLP_EFF_LOWER_SEVERITY1_V1,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V1,,,,,,
SLP_EFF_LOWER_SEVERITY1_V2,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V2,,,,,,
SLP_EFF_LOWER_SEVERITY1_V3,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V3,,,,,,
SLP_EFF_LOWER_SEVERITY1_V4,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V4,,,,,,
SLP_EFF_LOWER_SEVERITY1_V5,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V5,,,,,,
SLP_EFF_LOWER_SEVERITY1_V6,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V6,,,,,,
SLP_EFF_LOWER_SEVERITY1_V7,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V7,,,,,,
SLP_EFF_LOWER_SEVERITY1_V8,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V8,,,,,,
SLP_EFF_LOWER_SEVERITY1_V9,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V9,,,,,,
SLP_EFF_LOWER_SEVERITY1_V10,sueño,mensaje SLP_EFF_LOWER_SEVERITY1_V10,,,,,,
SLP_EFF_LOWER_SEVERITY2_V1,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V1,,,,,,
SLP_EFF_LOWER_SEVERITY2_V2,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V2,,,,,,
SLP_EFF_LOWER_SEVERITY2_V3,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V3,,,,,,
SLP_EFF_LOWER_SEVERITY2_V4,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V4,,,,,,
SLP_EFF_LOWER_SEVERITY2_V5,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V5,,,,,,
SLP_EFF_LOWER_SEVERITY2_V6,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V6,,,,,,
SLP_EFF_LOWER_SEVERITY2_V7,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V7,,,,,,
SLP_EFF_LOWER_SEVERITY2_V8,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V8,,,,,,
SLP_EFF_LOWER_SEVERITY2_V9,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V9,,,,,,
SLP_EFF_LOWER_SEVERITY2_V10,sueño,mensaje SLP_EFF_LOWER_SEVERITY2_V10,,,,,,
SLP_EFF_LOWER_SEVERITY3_V1,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V1,,,,,,
SLP_EFF_LOWER_SEVERITY3_V2,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V2,,,,,,
SLP_EFF_LOWER_SEVERITY3_V3,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V3,,,,,,
SLP_EFF_LOWER_SEVERITY3_V4,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V4,,,,,,
SLP_EFF_LOWER_SEVERITY3_V5,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V5,,,,,,
SLP_EFF_LOWER_SEVERITY3_V6,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V6,,,,,,
SLP_EFF_LOWER_SEVERITY3_V7,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V7,,,,,,
SLP_EFF_LOWER_SEVERITY3_V8,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V8,,,,,,
SLP_EFF_LOWER_SEVERITY3_V9,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V9,,,,,,
SLP_EFF_LOWER_SEVERITY3_V10,sueño,mensaje SLP_EFF_LOWER_SEVERITY3_V10,,,,,,
SLP_EFF_UPPER_SEVERITY1_V1,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V1,,,,,,
SLP_EFF_UPPER_SEVERITY1_V2,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V2,,,,,,
SLP_EFF_UPPER_SEVERITY1_V3,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V3,,,,,,
SLP_EFF_UPPER_SEVERITY1_V4,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V4,,,,,,
SLP_EFF_UPPER_SEVERITY1_V5,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V5,,,,,,
SLP_EFF_UPPER_SEVERITY1_V6,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V6,,,,,,
SLP_EFF_UPPER_SEVERITY1_V7,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V7,,,,,,
SLP_EFF_UPPER_SEVERITY1_V8,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V8,,,,,,
SLP_EFF_UPPER_SEVERITY1_V9,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V9,,,,,,
SLP_EFF_UPPER_SEVERITY1_V10,sueño,mensaje SLP_EFF_UPPER_SEVERITY1_V10,,,,,,
SLP_EFF_UPPER_SEVERITY2_V1,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V1,,,,,,
SLP_EFF_UPPER_SEVERITY2_V2,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V2,,,,,,
SLP_EFF_UPPER_SEVERITY2_V3,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V3,,,,,,
SLP_EFF_UPPER_SEVERITY2_V4,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V4,,,,,,
SLP_EFF_UPPER_SEVERITY2_V5,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V5,,,,,,
SLP_EFF_UPPER_SEVERITY2_V6,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V6,,,,,,
SLP_EFF_UPPER_SEVERITY2_V7,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V7,,,,,,
SLP_EFF_UPPER_SEVERITY2_V8,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V8,,,,,,
SLP_EFF_UPPER_SEVERITY2_V9,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V9,,,,,,
SLP_EFF_UPPER_SEVERITY2_V10,sueño,mensaje SLP_EFF_UPPER_SEVERITY2_V10,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V1,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V1,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V2,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V2,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V3,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V3,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V4,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V4,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V5,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V5,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V6,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V6,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V7,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V7,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V8,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V8,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V9,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V9,,,,,,
ACT_DAILY_LOWER_SEVERITY1_V10,actividad,mensaje ACT_DAILY_LOWER_SEVERITY1_V10,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V1,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V1,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V2,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V2,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V3,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V3,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V4,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V4,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V5,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V5,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V6,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V6,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V7,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V7,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V8,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V8,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V9,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V9,,,,,,
ACT_DAILY_LOWER_SEVERITY2_V10,actividad,mensajeACT_DAILY_LOWER_SEVERITY2_V10,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V1,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V1,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V2,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V2,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V3,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V3,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V4,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V4,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V5,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V5,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V6,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V6,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V7,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V7,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V8,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V8,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V9,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V9,,,,,,
ACT_DAILY_LOWER_SEVERITY3_V10,actividad,mensajeACT_DAILY_LOWER_SEVERITY3_V10,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V1,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V1,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V2,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V2,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V3,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V3,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V4,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V4,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V5,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V5,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V6,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V6,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V7,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V7,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V8,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V8,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V9,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V9,,,,,,
ACT_DAILY_UPPER_SEVERITY1_V10,actividad,mensajeACT_DAILY_UPPER_SEVERITY1_V10,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V1,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V1,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V2,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V2,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V3,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V3,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V4,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V4,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V5,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V5,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V6,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V6,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V7,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V7,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V8,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V8,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V9,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V9,,,,,,
ACT_DAILY_UPPER_SEVERITY2_V10,actividad,mensajeACT_DAILY_UPPER_SEVERITY2_V10,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V1,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V1,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V2,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V2,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V3,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V3,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V4,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V4,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V5,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V5,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V6,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V6,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V7,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V7,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V8,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V8,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V9,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V9,,,,,,
ACT_ACWR_LOWER_SEVERITY1_V10,actividad,mensaje ACT_ACWR_LOWER_SEVERITY1_V10,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V1,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V1,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V2,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V2,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V3,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V3,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V4,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V4,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V5,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V5,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V6,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V6,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V7,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V7,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V8,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V8,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V9,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V9,,,,,,
ACT_ACWR_LOWER_SEVERITY2_V10,actividad,mensajeACT_ACWR_LOWER_SEVERITY2_V10,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V1,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V1,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V2,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V2,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V3,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V3,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V4,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V4,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V5,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V5,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V6,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V6,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V7,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V7,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V8,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V8,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V9,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V9,,,,,,
ACT_ACWR_LOWER_SEVERITY3_V10,actividad,mensajeACT_ACWR_LOWER_SEVERITY3_V10,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V1,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V1,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V2,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V2,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V3,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V3,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V4,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V4,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V5,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V5,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V6,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V6,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V7,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V7,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V8,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V8,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V9,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V9,,,,,,
ACT_ACWR_UPPER_SEVERITY1_V10,actividad,mensajeACT_ACWR_UPPER_SEVERITY1_V10,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V1,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V1,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V2,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V2,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V3,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V3,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V4,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V4,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V5,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V5,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V6,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V6,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V7,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V7,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V8,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V8,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V9,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V9,,,,,,
ACT_ACWR_UPPER_SEVERITY2_V10,actividad,mensajeACT_ACWR_UPPER_SEVERITY2_V10,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V1,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V1,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V2,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V2,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V3,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V3,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V4,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V4,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V5,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V5,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V6,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V6,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V7,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V7,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V8,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V8,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V9,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V9,,,,,,
ACT_ACWR_UPPER_SEVERITY3_V10,actividad,mensajeACT_ACWR_UPPER_SEVERITY3_V10,,,,,,
REC_VO2_LOWER_SEVERITY1_V1,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V1,,,,,,
REC_VO2_LOWER_SEVERITY1_V2,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V2,,,,,,
REC_VO2_LOWER_SEVERITY1_V3,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V3,,,,,,
REC_VO2_LOWER_SEVERITY1_V4,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V4,,,,,,
REC_VO2_LOWER_SEVERITY1_V5,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V5,,,,,,
REC_VO2_LOWER_SEVERITY1_V6,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V6,,,,,,
REC_VO2_LOWER_SEVERITY1_V7,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V7,,,,,,
REC_VO2_LOWER_SEVERITY1_V8,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V8,,,,,,
REC_VO2_LOWER_SEVERITY1_V9,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V9,,,,,,
REC_VO2_LOWER_SEVERITY1_V10,recuperación,mensaje REC_VO2_LOWER_SEVERITY1_V10,,,,,,
